Time,x0(t),x1(t)
0.0,0.10767,0.00891
0.02,0.10767,0.00916
0.04,0.10791,0.00964
0.06,0.10791,0.00989
0.08,0.10791,0.01013
0.1,0.10815,0.01013
0.12,0.1084,0.01062
0.14,0.1084,0.01086
0.16,0.1084,0.01111
0.18,0.1084,0.01208
0.2,0.10815,0.01306
0.22,0.10815,0.01331
0.24,0.10864,0.01428
0.26,0.10889,0.01453
0.28,0.10889,0.01453
0.3,0.10889,0.01453
0.32,0.10889,0.01575
0.34,0.10889,0.01648
0.36,0.10864,0.01697
0.38,0.10864,0.01721
0.4,0.1084,0.01746
0.42,0.10864,0.0177
0.44,0.10815,0.01843
0.46,0.10815,0.01917
0.48,0.10815,0.01917
0.5,0.10815,0.01965
0.52,0.10791,0.01965
0.54,0.10791,0.02014
0.56,0.10742,0.02112
0.58,0.10718,0.02161
0.6,0.10693,0.02258
0.62,0.10693,0.02356
0.64,0.10669,0.02454
0.66,0.10645,0.02502
0.68,0.10645,0.02576
0.7,0.1062,0.02625
0.72,0.1062,0.02673
0.74,0.10669,0.02771
0.76,0.10669,0.02869
0.78,0.10645,0.02942
0.8,0.10571,0.03064
0.82,0.10571,0.03186
0.84,0.10522,0.03235
0.86,0.10425,0.03333
0.88,0.104,0.0343
0.9,0.10352,0.03528
0.92,0.10327,0.03577
0.94,0.10352,0.0365
0.96,0.10327,0.03796
0.98,0.10254,0.03918
1.0,0.10254,0.04016
1.02,0.10156,0.04138
1.04,0.10132,0.04309
1.06,0.10107,0.04358
1.08,0.10034,0.04456
1.1,0.1001,0.04529
1.12,0.09985,0.04602
1.14,0.09912,0.04724
1.16,0.09814,0.04773
1.18,0.0979,0.04871
1.2,0.09741,0.04968
1.22,0.09741,0.05212
1.24,0.09717,0.05408
1.26,0.09644,0.05457
1.28,0.09595,0.05579
1.3,0.09595,0.05701
1.32,0.09497,0.05798
1.34,0.09351,0.05896
1.36,0.09302,0.05969
1.38,0.09253,0.06042
1.4,0.09229,0.0614
1.42,0.09131,0.06189
1.44,0.09009,0.06287
1.46,0.0896,0.06458
1.48,0.08936,0.0658
1.5,0.08813,0.06677
1.52,0.0874,0.0675
1.54,0.08643,0.06824
1.56,0.08618,0.06873
1.58,0.08594,0.07019
1.6,0.08521,0.07068
1.62,0.08521,0.0719
1.64,0.08496,0.07239
1.66,0.08447,0.07361
1.68,0.08398,0.07434
1.7,0.0835,0.07458
1.72,0.08325,0.07556
1.74,0.08276,0.07629
1.76,0.08179,0.07776
1.78,0.08105,0.07874
1.8,0.08081,0.07947
1.82,0.08057,0.07996
1.84,0.08008,0.08069
1.86,0.07959,0.08215
1.88,0.07861,0.08337
1.9,0.07764,0.08459
1.92,0.07764,0.0863
1.94,0.07715,0.08777
1.96,0.07642,0.0885
1.98,0.07642,0.08997
2.0,0.07544,0.09045
2.02,0.07495,0.09192
2.04,0.07471,0.09314
2.06,0.07422,0.09338
2.08,0.07349,0.09436
2.1,0.07275,0.0946
2.12,0.07227,0.09656
2.14,0.07178,0.09778
2.16,0.07104,0.09827
2.18,0.07007,0.09949
2.2,0.06909,0.09998
2.22,0.06812,0.10046
2.24,0.06763,0.1012
2.26,0.06714,0.10193
2.28,0.06665,0.10266
2.3,0.06641,0.10339
2.32,0.06592,0.10437
2.34,0.06519,0.10583
2.36,0.06494,0.10706
2.38,0.06396,0.1073
2.4,0.06299,0.10803
2.42,0.06226,0.10852
2.44,0.06226,0.10925
2.46,0.06152,0.1095
2.48,0.06152,0.10974
2.5,0.06128,0.10999
2.52,0.06079,0.11047
2.54,0.05981,0.11096
2.56,0.05957,0.11169
2.58,0.05859,0.11194
2.6,0.05811,0.11218
2.62,0.05811,0.11218
2.64,0.05664,0.11218
2.66,0.05615,0.11267
2.68,0.05542,0.11316
2.7,0.05469,0.11414
2.72,0.05444,0.11462
2.74,0.05347,0.11487
2.76,0.05347,0.11511
2.78,0.05298,0.11536
2.8,0.05127,0.1156
2.82,0.05078,0.11609
2.84,0.05078,0.11633
2.86,0.05078,0.11707
2.88,0.05029,0.11707
2.9,0.04932,0.11731
2.92,0.04858,0.11804
2.94,0.04834,0.11804
2.96,0.04834,0.11853
2.98,0.04834,0.11877
3.0,0.0481,0.11877
3.02,0.04712,0.11877
3.04,0.04688,0.11951
3.06,0.04614,0.12097
3.08,0.0459,0.12097
3.1,0.04468,0.12146
3.12,0.04443,0.12146
3.14,0.04419,0.12195
3.16,0.04272,0.12219
3.18,0.04248,0.12244
3.2,0.04175,0.12292
3.22,0.04175,0.12317
3.24,0.04126,0.12317
3.26,0.04126,0.12317
3.28,0.04053,0.1239
3.3,0.04053,0.12439
3.32,0.04004,0.12439
3.34,0.04004,0.12463
3.36,0.03906,0.12463
3.38,0.03833,0.12512
3.4,0.03833,0.12512
3.42,0.0376,0.12512
3.44,0.0376,0.12512
3.46,0.0376,0.12537
3.48,0.03711,0.1261
3.5,0.03687,0.12634
3.52,0.03662,0.12659
3.54,0.03589,0.12708
3.56,0.03564,0.12732
3.58,0.03564,0.12781
3.6,0.03564,0.12781
3.62,0.0354,0.12805
3.64,0.03491,0.12805
3.66,0.03491,0.12805
3.68,0.03467,0.12805
3.7,0.03467,0.12854
3.72,0.03467,0.12878
3.74,0.03442,0.12927
3.76,0.03418,0.12952
3.78,0.03394,0.12952
3.8,0.03369,0.12976
3.82,0.03369,0.13
3.84,0.03345,0.13049
3.86,0.03345,0.13074
3.88,0.03345,0.13074
3.9,0.0332,0.13123
3.92,0.03271,0.13123
3.94,0.03247,0.13147
3.96,0.03247,0.13171
3.98,0.03223,0.13171
4.0,0.03223,0.13196
4.02,0.03174,0.13245
4.04,0.03174,0.13245
4.06,0.03174,0.13269
4.08,0.03149,0.13269
4.1,0.03076,0.13269
4.12,0.03076,0.13269
4.14,0.03076,0.13269
4.16,0.03052,0.13269
4.18,0.03052,0.13293
4.2,0.03052,0.13318
4.22,0.03027,0.13342
4.24,0.03027,0.13342
4.26,0.03027,0.13342
4.28,0.03027,0.13342
4.3,0.03003,0.13367
4.32,0.02954,0.13367
4.34,0.0293,0.13391
4.36,0.0293,0.13391
4.38,0.02905,0.13391
4.4,0.02856,0.13391
4.42,0.02856,0.13416
4.44,0.02832,0.1344
4.46,0.02832,0.13464
4.48,0.02832,0.13513
4.5,0.02832,0.13513
4.52,0.02783,0.13538
4.54,0.02759,0.13538
4.56,0.02734,0.13538
4.58,0.02734,0.13538
4.6,0.0271,0.13538
4.62,0.0271,0.13538
4.64,0.02686,0.13538
4.66,0.02686,0.13538
4.68,0.02686,0.13538
4.7,0.02661,0.13538
4.72,0.02637,0.13538
4.74,0.02637,0.13538
4.76,0.02637,0.13586
4.78,0.02637,0.13586
4.8,0.02637,0.13586
4.82,0.02612,0.13586
4.84,0.02612,0.13586
4.86,0.02612,0.13586
4.88,0.02612,0.13611
4.9,0.02588,0.13611
4.92,0.02588,0.13611
4.94,0.02588,0.13611
4.96,0.02588,0.13611
4.98,0.02588,0.13611
5.0,0.02588,0.13611
5.02,0.02563,0.13635
5.04,0.02563,0.1366
5.06,0.02563,0.1366
5.08,0.02563,0.13684
5.1,0.02563,0.13684
5.12,0.02539,0.13684
5.14,0.02539,0.13684
5.16,0.02539,0.13684
5.18,0.02539,0.13684
5.2,0.02539,0.13684
5.22,0.02515,0.13708
5.24,0.02515,0.13708
5.26,0.0249,0.13757
5.28,0.0249,0.13782
5.3,0.02441,0.13782
5.32,0.02417,0.13782
5.34,0.02417,0.13782
5.36,0.02417,0.13782
5.38,0.02368,0.13782
5.4,0.02368,0.13782
5.42,0.02368,0.13831
5.44,0.02368,0.13831
5.46,0.02368,0.13831
5.48,0.02368,0.13831
5.5,0.02368,0.13831
5.52,0.02319,0.13831
5.54,0.02295,0.13831
5.56,0.02295,0.13831
5.58,0.02271,0.13831
5.6,0.02246,0.13831
5.62,0.02222,0.13831
5.64,0.02222,0.13831
5.66,0.02222,0.13831
5.68,0.02222,0.13831
5.7,0.02222,0.13831
5.72,0.02222,0.13855
5.74,0.02222,0.13855
5.76,0.02173,0.13855
5.78,0.02173,0.13855
5.8,0.02173,0.13855
5.82,0.02173,0.13855
5.84,0.02173,0.13855
5.86,0.02173,0.13855
5.88,0.02148,0.13879
5.9,0.02148,0.13879
5.92,0.02124,0.13879
5.94,0.021,0.13855
5.96,0.021,0.13855
5.98,0.021,0.13879
6.0,0.021,0.13904
6.02,0.021,0.13904
6.04,0.021,0.13904
6.06,0.02075,0.13879
6.08,0.02075,0.13879
6.1,0.02075,0.13879
6.12,0.02075,0.13879
6.14,0.02075,0.13879
6.16,0.02075,0.13879
6.18,0.02026,0.13879
6.2,0.02026,0.13879
6.22,0.02002,0.13879
6.24,0.01978,0.13879
6.26,0.01978,0.13855
6.28,0.01978,0.13855
6.3,0.01978,0.13855
6.32,0.01978,0.13855
6.34,0.01978,0.13855
6.36,0.01978,0.13855
6.38,0.01978,0.13855
6.4,0.01978,0.13855
6.42,0.01978,0.13855
6.44,0.01978,0.13879
6.46,0.01953,0.13879
6.48,0.01953,0.13855
6.5,0.01953,0.13855
6.52,0.01953,0.13855
6.54,0.01953,0.13855
6.56,0.01953,0.13904
6.58,0.01953,0.13904
6.6,0.01953,0.13904
6.62,0.01953,0.13879
6.64,0.01929,0.13879
6.66,0.01929,0.13904
6.68,0.01929,0.13928
6.7,0.01904,0.13928
6.72,0.01904,0.13928
6.74,0.01904,0.13928
6.76,0.01904,0.13928
6.78,0.01904,0.13928
6.8,0.01904,0.13928
6.82,0.01904,0.13928
6.84,0.0188,0.13928
6.86,0.0188,0.13928
6.88,0.0188,0.13928
6.9,0.01855,0.13928
6.92,0.01855,0.13928
6.94,0.01855,0.13928
6.96,0.01855,0.13928
6.98,0.01855,0.13928
7.0,0.01855,0.13928
7.02,0.01855,0.13928
7.04,0.01831,0.13928
7.06,0.01831,0.13953
7.08,0.01831,0.13953
7.1,0.01831,0.13953
7.12,0.01831,0.13953
7.14,0.01831,0.13953
7.16,0.01831,0.13953
7.18,0.01831,0.13953
7.2,0.01831,0.13953
7.22,0.01831,0.13953
7.24,0.01831,0.13977
7.26,0.01831,0.13953
7.28,0.01807,0.13953
7.3,0.01807,0.13953
7.32,0.01807,0.13953
7.34,0.01782,0.13977
7.36,0.01782,0.13977
7.38,0.01782,0.13953
7.4,0.01782,0.13953
7.42,0.01782,0.13953
7.44,0.01782,0.13953
7.46,0.01758,0.13953
7.48,0.01758,0.13928
7.5,0.01758,0.13928
7.52,0.01758,0.13928
7.54,0.01758,0.13904
7.56,0.01758,0.13879
7.58,0.01758,0.13879
7.6,0.01758,0.13855
7.62,0.01758,0.13879
7.64,0.01758,0.13879
7.66,0.01758,0.13879
7.68,0.01733,0.13879
7.7,0.01733,0.13879
7.72,0.01733,0.13879
7.74,0.01733,0.13879
7.76,0.01709,0.13879
7.78,0.01709,0.13879
7.8,0.01709,0.13879
7.82,0.01709,0.13855
7.84,0.01685,0.13855
7.86,0.01685,0.13855
7.88,0.01685,0.13855
7.9,0.0166,0.13831
7.92,0.0166,0.13831
7.94,0.01636,0.13831
7.96,0.01636,0.13782
7.98,0.01611,0.13782
8.0,0.01611,0.13782
8.02,0.01611,0.13782
8.04,0.01611,0.13757
8.06,0.01587,0.13757
8.08,0.01587,0.13733
8.1,0.01563,0.13733
8.12,0.01563,0.13733
8.14,0.01563,0.13733
8.16,0.01538,0.13733
8.18,0.01538,0.13733
8.2,0.01538,0.13733
8.22,0.01538,0.13708
8.24,0.01538,0.13708
8.26,0.01538,0.13708
8.28,0.01538,0.13708
8.3,0.01538,0.13708
8.32,0.01538,0.1366
8.34,0.01538,0.1366
8.36,0.01538,0.1366
8.38,0.01538,0.1366
8.4,0.01538,0.1366
8.42,0.01538,0.13635
8.44,0.01538,0.13635
8.46,0.01538,0.1366
8.48,0.01538,0.1366
8.5,0.01514,0.13635
8.52,0.01514,0.13635
8.54,0.01514,0.13635
8.56,0.01514,0.13611
8.58,0.01514,0.13635
8.6,0.01514,0.13635
8.62,0.01514,0.13635
8.64,0.01514,0.13611
8.66,0.01514,0.13611
8.68,0.01514,0.13586
8.7,0.01514,0.13586
8.72,0.01514,0.13562
8.74,0.01514,0.13562
8.76,0.01514,0.13562
8.78,0.01514,0.13562
8.8,0.01514,0.13562
8.82,0.01514,0.13538
8.84,0.01514,0.13513
8.86,0.01489,0.13489
8.88,0.01465,0.13489
8.9,0.01465,0.13489
8.92,0.01465,0.13464
8.94,0.0144,0.1344
8.96,0.0144,0.1344
8.98,0.0144,0.1344
9.0,0.01416,0.1344
9.02,0.01416,0.13416
9.04,0.01416,0.13391
9.06,0.01416,0.13391
9.08,0.01416,0.13391
9.1,0.01416,0.13367
9.12,0.01416,0.13367
9.14,0.01416,0.13318
9.16,0.01416,0.13318
9.18,0.01392,0.13318
9.2,0.01392,0.13318
9.22,0.01392,0.13293
9.24,0.01392,0.13293
9.26,0.01392,0.13269
9.28,0.01392,0.13269
9.3,0.01392,0.13269
9.32,0.01392,0.13245
9.34,0.01392,0.13269
9.36,0.01392,0.13269
9.38,0.01392,0.13293
9.4,0.01392,0.13293
9.42,0.01392,0.13293
9.44,0.01392,0.13269
9.46,0.01392,0.13269
9.48,0.01392,0.13269
9.5,0.01392,0.13269
9.52,0.01392,0.13245
9.54,0.01392,0.13245
9.56,0.01367,0.13245
9.58,0.01367,0.13245
9.6,0.01367,0.13245
9.62,0.01367,0.13245
9.64,0.01367,0.1322
9.66,0.01367,0.13196
9.68,0.01367,0.13196
9.7,0.01367,0.13196
9.72,0.01367,0.13196
9.74,0.01367,0.13171
9.76,0.01367,0.13171
9.78,0.01367,0.13171
9.8,0.01367,0.13171
9.82,0.01367,0.13171
9.84,0.01367,0.13171
9.86,0.01367,0.13147
9.88,0.01367,0.13123
9.9,0.01367,0.13123
9.92,0.01367,0.13098
9.94,0.01367,0.13098
9.96,0.01367,0.13098
9.98,0.01343,0.13074
10.0,0.01343,0.13074
10.02,0.01343,0.13074
10.04,0.01343,0.13074
10.06,0.01343,0.13074
10.08,0.01343,0.13074
10.1,0.01318,0.13074
10.12,0.01318,0.13074
10.14,0.01318,0.13049
10.16,0.01318,0.13049
10.18,0.01318,0.13025
10.2,0.01318,0.13
